,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID
330,Ty-N_peak_463,chr3L,2466486,2466486,+,89.11829,,promoter-TSS (NM_001031933),promoter-TSS (NM_001031933),-375,NM_001031933,38306,Dm.6482,NM_139462,,CG45186,CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|Dmel\CG45186|Dmel_CG13800|Dmel_CG32306|Dmel_CG33231|Dmel_CG33232|Dmel_CG42669|c62E-11,uncharacterized protein,protein-coding,CG45186,FBgn0266696
331,Ty-N_peak_295,chr2R,11886248,11886248,+,89.02624,,promoter-TSS (NM_001103809),promoter-TSS (NM_001103809),181,NM_136865,36269,Dm.30905,NM_136865,,cuff,CG13190|Dmel\CG13190,cutoff,protein-coding,CG13190,FBgn0260932
333,Ty-N_peak_262,chr2R,7806369,7806369,+,89.02624,,promoter-TSS (NM_165559),promoter-TSS (NM_165559),16,NM_136480,35730,Dm.8933,NM_136480,,Nop17l,CG1553|Dmel\CG1553,Nop17 like,protein-coding,CG1553,FBgn0033224
342,Ty-N_peak_119,chr2L,13203871,13203871,+,86.52499,,promoter-TSS (NM_135768),promoter-TSS (NM_135768),109,NM_165030,34716,Dm.416,NM_135769,,Pect,CG5547|Dmel\CG5547|PECT|pect,Phosphoethanolamine cytidylyltransferase,protein-coding,CG5547,FBgn0032482
345,Ty-N_peak_407,chr2R,23658367,23658367,+,86.03367,,promoter-TSS (NM_137970),promoter-TSS (NM_137970),800,NM_166616,37741,Dm.4039,NM_137970,,Pde8,CG42241|CG45019|CG5411|Dmel\CG45019|Dmel_CG42241|Dmel_CG5411|PDE8|pde8,Phosphodiesterase 8,protein-coding,CG42241,FBgn0266377
346,Ty-N_peak_152,chr2L,16307577,16307577,+,86.03367,,promoter-TSS (NM_135945),promoter-TSS (NM_135945),231,NM_078858,34966,Dm.1927,NM_078858,,Syx5,BG:DS02740.12|CG4214|DmSyx5|Dmel\CG4214|II|SED5|SYN5|Sed5|Synx5|Syx|Syx5A|anon-35Fb|anon-35Fd|dSed5|dSed5p|dSyx5|dsed5|l(2)35Ff|sed5|syn5|syx5,Syntaxin 5,protein-coding,CG4214,FBgn0011708
349,Ty-N_peak_743,chr3R,6762315,6762315,+,85.04198,,promoter-TSS (NM_169160),promoter-TSS (NM_169160),-278,NM_169160,40831,Dm.1081,NM_057231,,Ama,AMA|BG:DS00276.6|CG2198|CT7244|Dmel\CG2198|M109|ama,Amalgam,protein-coding,CG2198,FBgn0000071
350,Ty-N_peak_276,chr2R,9565466,9565466,+,85.04198,,promoter-TSS (NR_124486),promoter-TSS (NR_124486),-276,NR_124485,19836134,,NR_124485,,CR45281,Dmel\CR45281|lincRNA.S2433,ncRNA,ncRNA,CR45281,FBgn0266819
352,Ty-N_peak_950,chr3R,31610224,31610224,+,84.67646,,promoter-TSS (NM_170559),promoter-TSS (NM_170559),-409,NM_170556,43724,Dm.1390,NM_079870,,CycG,CG 11525|CG11525|Dmel\CG11525|anon-EST:Liang-1.25|anon-EST:Liang-2.24|chr3R:27424276..27424475|clone 1.25|clone 2.24|cycG|dCycG|i205|i261,Cyclin G,protein-coding,CG11525,FBgn0039858
355,Ty-N_peak_793,chr3R,12080671,12080671,+,84.05341,,promoter-TSS (NM_169450),promoter-TSS (NM_169450),-743,NM_169450,41469,,NM_169450,,ATP8B,CG14741|DmCG14741|Dmel\CG14741|dATP8B,ATPase 8B,protein-coding,CG14741,FBgn0037989
357,Ty-N_peak_551,chr3L,11046757,11046757,+,83.93848,,promoter-TSS (NM_168431),promoter-TSS (NM_168431),-117,NM_140167,39231,Dm.11317,NM_140167,,CG43693,CG34239|CG6327|Dmel\CG43693|Dmel_CG34239|Dmel_CG6327,uncharacterized protein,protein-coding,CG43693,FBgn0263776
358,Ty-N_peak_127,chr2L,13912053,13912053,+,83.06818,,promoter-TSS (NM_078839),promoter-TSS (NM_078839),-30,NM_001298987,34807,Dm.2896,NM_078839,,Acyp,ACPDro|AcPDro|BG:DS00180.1|CG16870|Dmel\CG16870,Acylphosphatase,protein-coding,CG16870,FBgn0025115
360,Ty-N_peak_396,chr2R,22194035,22194035,+,83.06818,,promoter-TSS (NM_166519),promoter-TSS (NM_166519),-880,NM_166519,37537,Dm.732,NM_137808,,Swim,CG3074|Dmel\CG3074|dmw|swim,Secreted Wg-interacting molecule,protein-coding,CG3074,FBgn0034709
363,Ty-N_peak_964,chr4,466875,466875,+,82.83663,,promoter-TSS (NM_143666),promoter-TSS (NM_143666),-47,NM_143666,43793,Dm.6500,NM_143666,,bip2,BIP2|Bip2|CG2009|DmTAF3|Dmel\CG2009|TAF155|TAF3|TAFII155|TAF[[II]]155|TFIID|bip-II|dBIP2|dTAFII3|dTAF[[II]]155|dmTAF3|i163|i31,bip2,protein-coding,CG2009,FBgn0026262
364,Ty-N_peak_6,chr2L,271900,271900,+,82.83144,,promoter-TSS (NM_164377),promoter-TSS (NM_164377),-156,NM_164377,33190,Dm.4432,NM_134663,,CG3645,Dmel\CG3645,CG3645,protein-coding,CG3645,FBgn0031238
367,Ty-N_peak_19,chr2L,2311605,2311605,+,81.44461,,promoter-TSS (NM_001032399),promoter-TSS (NM_001032399),-75,NM_001032399,3771890,Dm.12205,NM_001032399,,eys,21A6|CG15388|CG15389|CG33955|CG7245|CT35437|Dmel\CG33955|EYS|Eyes Shut|Eys|MAb21A6|SPAM|Spam|mAb 21A6|mAb21A6|spacemaker|spam,eyes shut,protein-coding,CG15388,FBgn0031414
370,Ty-N_peak_380,chr2R,21076009,21076009,+,81.10682,,promoter-TSS (NM_166421),promoter-TSS (NM_166421),344,NM_001274186,45368,Dm.6686,NM_080082,,Treh,87D3T|CG9364|Dmel\CG9364|ESTS:87D3T|TRE|TREH|Tre|anon-EST:Posey159|anon-sts38,Trehalase,protein-coding,CG9364,FBgn0003748
376,Ty-N_peak_752,chr3R,7639659,7639659,+,80.13117,,promoter-TSS (NM_001043220),promoter-TSS (NM_001043220),-225,NM_001043220,40912,Dm.17109,NM_169190,,Nlg3,CG1062|CG14597|CG18291|CG32465|CG34127|DNLG3|DNlg3|Dmel\CG34127|dnlg3,Neuroligin 3,protein-coding,CG1062,FBgn0083963
377,Ty-N_peak_541,chr3L,9704299,9704299,+,80.13117,,promoter-TSS (NM_168361),promoter-TSS (NM_168361),-32,NM_168361,39135,Dm.14974,NM_140090,,CG16711,Dmel\CG16711,uncharacterized protein,protein-coding,CG16711,FBgn0036032
378,Ty-N_peak_844,chr3R,18053128,18053128,+,80.13117,,promoter-TSS (NM_079670),promoter-TSS (NM_079670),-144,NM_079670,42160,Dm.7690,NM_079670,,htl,CG7223|CT22273|CT39172|DFGF-R1|DFGF-R2|DFR-1|DFR1|DFR1/DFGF-R2|DPR3|DTRK(FR1)|Dfr-1|Dfr1|DmHD-38|Dmel\CG7223|Dtk1|EMS2|FGF-R2|FGFR|FGFR2|FR1|Fr1|HD-38|HTL/FGFR1|Htl|Tk1|dtk1|i100|i150|i79|j372,heartless,protein-coding,CG7223,FBgn0010389
379,Ty-N_peak_422,chr2R,25190245,25190245,+,80.08122,,promoter-TSS (NM_001274251),promoter-TSS (NM_001274251),-121,NM_001274251,38011,Dm.14982,NM_166707,,CG9380,Dmel\CG9380,CG9380,protein-coding,CG9380,FBgn0035094
381,Ty-N_peak_814,chr3R,15131960,15131960,+,79.01755,,promoter-TSS (NM_169609),promoter-TSS (NM_169609),-34,NM_169609,41817,,NM_169609,,CG42788,CG18442|CG31304|CG6934|CG6960|Dmel\CG42788|Dmel_CG31304|Dmel_CG6934|anon-WO0118547.79,uncharacterized protein,protein-coding,CG42788,FBgn0261859
382,Ty-N_peak_335,chr2R,15815785,15815785,+,78.76394,,promoter-TSS (NM_001032249),promoter-TSS (NM_001032249),-868,NM_001274079,36740,Dm.22165,NM_137214,,Zasp52,CG12968|CG12969|CG30084|CG8242|Dmel\CG30084|Z(210)|ZASP52|Zasp|Zbp210|dzasp|tun|tungus|zasp|zasp52,Z band alternatively spliced PDZ-motif protein 52,protein-coding,CG12968,FBgn0265991
384,Ty-N_peak_673,chr3L,20427817,20427817,+,78.41775,,promoter-TSS (NM_168854),promoter-TSS (NM_168854),-151,NM_168854,40257,Dm.4366,NM_140965,,CG5274,Dmel\CG5274,CG5274,protein-coding,CG5274,FBgn0036987
386,Ty-N_peak_252,chr2R,6885559,6885559,+,78.18909,,promoter-TSS (NM_136402),promoter-TSS (NM_136402),7,NM_001259226,35602,Dm.6215,NM_136402,,Spn42De,CG9460|Dmel\CG9460,Serpin 42De,protein-coding,CG9460,FBgn0033115
387,Ty-N_peak_98,chr2L,10837709,10837709,+,78.18909,,promoter-TSS (NM_001032069),promoter-TSS (NM_001032069),-198,NM_078817,34495,Dm.2707,NM_078817,,Nos,CG6713|DNOS|DNOS1|Dmel\CG6713|NOS|dNOS|dNos|drNOSoxy|nNOS|nos,Nitric oxide synthase,protein-coding,CG6713,FBgn0011676
389,Ty-N_peak_187,chr2L,19063223,19063223,+,77.22244,,promoter-TSS (NM_136095),promoter-TSS (NM_136095),-72,NM_136095,35179,Dm.465,NM_136095,,CG10495,Dmel\CG10495|anon-WO0118547.200,uncharacterized protein,protein-coding,CG10495,FBgn0032750
392,Ty-N_peak_305,chr2R,12636846,12636846,+,76.81465,,promoter-TSS (NM_001032242),promoter-TSS (NM_001032242),175,NM_078995,36390,Dm.2581,NM_078995,,Iswi,ACF|CG8625|CHRAC|Dmel\CG8625|ISW|ISWI|NURF|NURF 140|NURF-140|Nurf-140|SWI|anon-EP1279744.124|dCHRAC|dISWI|dNURF|iswi|p140|p140/ISWI,Imitation SWI,protein-coding,CG8625,FBgn0011604
393,Ty-N_peak_306,chr2R,12655956,12655956,+,76.39559,,promoter-TSS (NM_136963),promoter-TSS (NM_136963),2,NM_136963,36394,Dm.6132,NM_136963,,CG8646,Dmel\CG8646,CG8646,protein-coding,CG8646,FBgn0033763
396,Ty-N_peak_32,chr2L,4187879,4187879,+,75.82348,,promoter-TSS (NM_164571),promoter-TSS (NM_164571),-86,NM_164571,319048,Dm.4137,NM_164570,,TBCC,BcDNA:LD34582|CG31961|CG3381|Dmel\CG31961,Tubulin-binding cofactor C,protein-coding,CG31961,FBgn0051961
398,Ty-N_peak_336,chr2R,15931937,15931937,+,75.29885,,promoter-TSS (NM_176181),promoter-TSS (NM_176181),-2,NM_137220,36747,Dm.10846,NM_137220,,bdg,CG8291|Dmel\CG8291,bedraggled,protein-coding,CG8291,FBgn0034049
402,Ty-N_peak_282,chr2R,10124135,10124135,+,74.5841,,promoter-TSS (NM_136712),promoter-TSS (NM_136712),-158,NM_136712,36064,Dm.20476,NM_136712,,gem,BcDNA:HL07889|CG11867|CG30011|CG3459|Dmel\CG30011|anon-AE003830.1|dCP2,gemini,protein-coding,CG11867,FBgn0050011
403,Ty-N_peak_458,chr3L,1196212,1196212,+,74.55605,,promoter-TSS (NM_167857),promoter-TSS (NM_167857),-105,NM_167856,53472,Dm.4584,NM_167856,,Aplip1,APLIP1|CG1200|Dmel\CG1200|E(Khc)ek4|EK4|Ek4|JIP1|Jip1/2|SP512|aplilp1|aplip1|dp1|ek4|jip1,APP-like protein interacting protein 1,protein-coding,CG1200,FBgn0040281
404,Ty-N_peak_782,chr3R,10856717,10856717,+,74.24431,,promoter-TSS (NM_141770),promoter-TSS (NM_141770),-90,NM_141770,41306,Dm.1143,NM_141770,,CG4570,Dmel\CG4570,CG4570,protein-coding,CG4570,FBgn0037844
407,Ty-N_peak_893,chr3R,25518412,25518412,+,73.64761,,promoter-TSS (NM_170229),promoter-TSS (NM_170229),89,NM_170229,43087,Dm.1334,NM_079838,,msi,CG5099|DMSIDNA|Dmel\CG5099|MSI|Msi|SIDNA|anon-EST:Liang-2.35|clone 2.35|dMSI|dMsi,musashi,protein-coding,CG5099,FBgn0011666
408,Ty-N_peak_586,chr3L,14559944,14559944,+,73.61879,,promoter-TSS (NM_001038923),promoter-TSS (NM_001038923),-56,NM_001038923,3885643,Dm.30277,NM_001038923,,CG34039,BP1005|Dmel\CG34039,uncharacterized protein,protein-coding,CG34039,FBgn0054039
416,Ty-N_peak_836,chr3R,17003048,17003048,+,72.43841,,promoter-TSS (NM_142326),promoter-TSS (NM_142326),173,NM_001275724,42049,Dm.6463,NM_142327,,Irc,CG8913|Dmel\CG8913|IRC,Immune-regulated catalase,protein-coding,CG8913,FBgn0038465
419,Ty-N_peak_1108,chrX,6780576,6780576,+,72.16908,,promoter-TSS (NM_132121),promoter-TSS (NM_132121),-917,NM_001298035,31617,Dm.58,NM_132121,,shf,CG3134|CG3135|CT10514|D-Wif|DmWIF|DmWif|Dmel\CG3135|Shf|shf-ov,shifted,protein-coding,CG3134,FBgn0003390
420,Ty-N_peak_417,chr2R,24942836,24942836,+,72.08313,,promoter-TSS (NM_001038885),promoter-TSS (NM_001038885),-423,NM_138139,37989,Dm.4023,NM_138139,,Tina-1,BEST:GM14784|CG2803|Dmel\CG2803,Troponin C-akin-1,protein-coding,CG2803,FBgn0035083
425,Ty-N_peak_88,chr2L,9963955,9963955,+,70.83009,,promoter-TSS (NM_001042885),promoter-TSS (NM_001042885),-6,NM_001042885,34327,Dm.378,NM_135490,,CG5850,Dmel\CG5850,CG5850,protein-coding,CG5850,FBgn0032172
428,Ty-N_peak_196,chr2L,19758689,19758689,+,69.95903,,promoter-TSS (NM_136156),promoter-TSS (NM_136156),-74,NM_136155,35263,,NM_136155,,CG10628,Dmel\CG10628,uncharacterized protein,protein-coding,CG10628,FBgn0032818
429,Ty-N_peak_254,chr2R,7025087,7025087,+,69.90327,,promoter-TSS (NM_078908),promoter-TSS (NM_078908),77,NM_078908,35615,Dm.5704,NM_078908,,Tsp42Ef,CG12845|Dm.Tsp42Ef|Dmel\CG12845,Tetraspanin 42Ef,protein-coding,CG12845,FBgn0033127
430,Ty-N_peak_906,chr3R,26261587,26261587,+,69.63013,,promoter-TSS (NM_206577),promoter-TSS (NM_206577),4,NM_001276056,43183,Dm.2349,NM_079791,,Ald,ALD|BcDNA:LP07735|CG6058|Dmel\CG6058|FBA|T12|T4|T6|T7|ald|dALDOA,Aldolase,protein-coding,CG6058,FBgn0000064
431,Ty-N_peak_576,chr3L,13301878,13301878,+,69.60735,,promoter-TSS (NR_073932),promoter-TSS (NR_073932),243,NM_079333,39494,Dm.2898,NM_079333,,SP,ACP|ACP70A|Acp-70A|Acp70|Acp70A|Acp70a|Apc70A|CG17673|Dmel\CG17673|DrmSP|PapB|Spg70|sex peptide,Sex Peptide,protein-coding,CG17673,FBgn0003034
432,Ty-N_peak_654,chr3L,18994586,18994586,+,69.60735,,promoter-TSS (NM_176347),promoter-TSS (NM_176347),-593,NM_176347,40073,Dm.23644,NM_140825,,CG18135,Dmel\CG18135,uncharacterized protein,protein-coding,CG18135,FBgn0036837
433,Ty-N_peak_24,chr2L,2959011,2959011,+,69.60735,,promoter-TSS (NM_134299),promoter-TSS (NM_134299),-136,NM_001298640,33498,Dm.4071,NM_057588,,Rbp9,CG15402|CG3151|Dmel\CG3151|RBP9|RBP9-2|RRM10|RRM9|Rbp10|Rpb9|fes|fs(2)B|rbp|rbp9|rbp9a|rrm10|rrm9,RNA-binding protein 9,protein-coding,CG15402,FBgn0010263
435,Ty-N_peak_300,chr2R,12138835,12138835,+,69.60735,,promoter-TSS (NM_136884),promoter-TSS (NM_136884),48,NM_136884,36297,Dm.7979,NM_136884,,CG18343,Dmel\CG18343,uncharacterized protein,protein-coding,CG18343,FBgn0033683
437,Ty-N_peak_535,chr3L,9349473,9349473,+,69.14352,,promoter-TSS (NM_140042),promoter-TSS (NM_140042),-136,NM_140042,39064,Dm.20049,NM_140042,,PGRP-LF,CG4437|Dmel\CG4437|PGRP-like|PGRPLF|anon-WO0118547.581|pgrp-lf,Peptidoglycan recognition protein LF,protein-coding,CG4437,FBgn0035977
443,Ty-N_peak_277,chr2R,9684587,9684587,+,68.25248,,promoter-TSS (NM_206066),promoter-TSS (NM_206066),-729,NM_206066,35997,Dm.11246,NM_136667,,Mmp2,2-MMP|CG1794|Dm2-MMP|Dmel\CG1794|MMP2|anon-WO0118547.84|dm-2MMP|dmmp2|l(2)02353|mmp2,Matrix metalloproteinase 2,protein-coding,CG1794,FBgn0033438
445,Ty-N_peak_812,chr3R,14655214,14655214,+,67.73702,,promoter-TSS (NM_001300399),promoter-TSS (NM_001300399),-17,NM_001260175,41776,Dm.11537,NM_142122,,l(3)L1231,BEST:LD14744|CG7832|Dmel\CG7832|LD14744,lethal (3) L1231,protein-coding,CG7832,FBgn0086686
446,Ty-N_peak_875,chr3R,23819207,23819207,+,67.73702,,promoter-TSS (NM_001014646),promoter-TSS (NM_001014646),30,NM_001275958,50068,Dm.1302,NM_176548,,CG33111,CG10193|CG11945|CG11957|Dmel\CG33111,uncharacterized protein,protein-coding,CG33111,FBgn0053111
449,Ty-N_peak_384,chr2R,21199549,21199549,+,67.41842,,promoter-TSS (NM_166432),promoter-TSS (NM_166432),-934,NM_137718,19835749,Dm.30881,NM_137718,,CG44245,CG9480|Dmel\CG44245,uncharacterized protein,protein-coding,CG44245,FBgn0265180
451,Ty-N_peak_780,chr3R,10849217,10849217,+,67.24807,,promoter-TSS (NM_001170113),promoter-TSS (NM_001170113),-608,NM_001260106,7354424,Dm.25144,NM_001144563,,CG42394,Dmel\CG42394,uncharacterized protein,protein-coding,CG42394,FBgn0259740
452,Ty-N_peak_817,chr3R,15148095,15148095,+,67.23257,,promoter-TSS (NM_169611),promoter-TSS (NM_169611),-564,NM_169611,41823,Dm.4414,NM_142165,,GlyS,CG6904|CG6940|Dmel\CG6904|GS|Glys|anon-WO0118547.108|dGS,Glycogen synthase,protein-coding,CG6904,FBgn0266064
454,Ty-N_peak_614,chr3L,16105882,16105882,+,66.80704,,promoter-TSS (NM_140581),promoter-TSS (NM_140581),30,NM_001259859,12797916,Dm.38966,NM_001259859,,CG43295,Dmel\CG43295,uncharacterized protein,protein-coding,CG43295,FBgn0262987
456,Ty-N_peak_965,chr4,482972,482972,+,66.78002,,promoter-TSS (NM_001272126),promoter-TSS (NM_001272126),-252,NM_001272126,43794,Dm.17798,NM_143667,,Asator,CG11533|CK I|CKI-like|Dmel\CG11533,asator,protein-coding,CG11533,FBgn0039908
457,Ty-N_peak_880,chr3R,24051404,24051404,+,65.88069,,promoter-TSS (NM_170121),promoter-TSS (NM_170121),-277,NM_170120,42849,Dm.31274,NM_142951,,CG5991,BEST:LD21713|Dmel\CG5991|LD21713|Psd,CG5991,protein-coding,CG5991,FBgn0026576
459,Ty-N_peak_1103,chrX,6279797,6279797,+,65.5315,,promoter-TSS (NM_167065),promoter-TSS (NM_167065),117,NR_123811,19836085,,NR_123811,,CR45530,Dmel\CR45530,ncRNA,ncRNA,CR45530,FBgn0267086
462,Ty-N_peak_296,chr2R,11985201,11985201,+,64.95779,,promoter-TSS (NM_001103810),promoter-TSS (NM_001103810),192,NM_080372,36280,Dm.569,NM_080372,,RnrS,CG8975|DmRNR2|Dmel\CG8975|RNR2|RNRS|RNrS|Rnr2|Rnrs|anon-WO0118547.148|dRNR2|rnr2|rnrS,Ribonucleoside diphosphate reductase small subunit,protein-coding,CG8975,FBgn0011704
463,Ty-N_peak_202,chr2L,19896052,19896052,+,64.95779,,promoter-TSS (NM_001103713),promoter-TSS (NM_001103713),7,NM_001103713,35277,Dm.17935,NM_136167,,sick,CG10662|CG13958|CG13959|CG13960|CG13961|CG13964|CG33316|CG34343|CG42589|CG43720|Dm_2L:104545|Dmel\CG43720|Dmel_CG10662|Dmel_CG13958|Dmel_CG13964|Dmel_CG33316|Dmel_CG34343|Dmel_CG42589,sickie,protein-coding,CG10662,FBgn0263873
466,Ty-N_peak_1056,chrX,1370356,1370356,+,64.03857,,promoter-TSS (NM_206603),promoter-TSS (NM_206603),-224,NM_001297846,31086,Dm.14946,NM_130552,,ssx,CG3056|Dmel\CG3056|EG:132E8.1|anon-EST:Posey102|cg3056,sister-of-Sex-lethal,protein-coding,CG3056,FBgn0024987
467,Ty-N_peak_459,chr3L,1298532,1298532,+,64.03857,,promoter-TSS (NM_058045),promoter-TSS (NM_058045),-140,NM_058044,38145,Dm.4734,NM_058044,,scf,BEST:CK02682|CG9148|CK02682|DCB-45|Dmel\CG9148|SCF|anon-EST:Posey14,supercoiling factor,protein-coding,CG9148,FBgn0025682
470,Ty-N_peak_1189,chrX,16560652,16560652,+,63.69587,,promoter-TSS (NM_078649),promoter-TSS (NM_078649),-636,NM_001258786,32624,Dm.33340,NM_078649,,Pp2B-14D,CG9842|CaNA|CanA|CanA14D|CnA|CnnA14D|D33|DmPp2B-14D|Dmel\CG9842|PP2B|PP2B 14D|PP2B-14D|Pp12-14D|Pp2B-14D/CaN|Pp2B-14DF|Pp2b-14D|PpD33|canA,Protein phosphatase 2B at 14D,protein-coding,CG9842,FBgn0011826
471,Ty-N_peak_790,chr3R,11604658,11604658,+,63.56147,,promoter-TSS (NM_169408),promoter-TSS (NM_169408),96,NM_169407,41392,Dm.20930,NM_169404,,Jupiter,BEST:LP05168|BcDNA:GH06373|BcDNA:LD21358|BcDNA:LD43690|BcDNA:RH53211|CG17238|CG18762|CG18763|CG31363|Dmel\CG31363|anon-EST:Liang-1.76|anon-WO0140519.173|clone 1.76|jupiter,jupiter,protein-coding,CG17238,FBgn0051363
473,Ty-N_peak_353,chr2R,17846451,17846451,+,63.12294,,promoter-TSS (NM_137428),promoter-TSS (NM_137428),-248,NM_137428,37039,Dm.33416,NM_137428,,olf186-M,CG14489|Dmel\CG14489,olf186-M,protein-coding,CG14489,FBgn0015522
474,Ty-N_peak_437,chr3L,342942,342942,+,63.12294,,promoter-TSS (NM_138186),promoter-TSS (NM_138186),-27,NM_138186,38057,Dm.24676,NM_138186,,mthl10,CG17061|Dmel\CG17061|anon-WO0170980.166|anon-WO0170980.167|mth2|mthl-10,methuselah-like 10,protein-coding,CG17061,FBgn0035132
475,Ty-N_peak_281,chr2R,10110807,10110807,+,63.11304,,promoter-TSS (NM_165747),promoter-TSS (NM_165747),-63,NM_165747,36060,Dm.7095,NM_078952,,Pfk,BcDNA.GH12192|BcDNA:GH12192|CG4001|Dmel\CG4001|PFK|PFK1|l(2)06339|pfk,Phosphofructokinase,protein-coding,CG4001,FBgn0003071
477,Ty-N_peak_1060,chrX,1773614,1773614,+,62.3326,,promoter-TSS (NM_001038732),promoter-TSS (NM_001038732),-105,NM_001258549,31136,Dm.19,NM_130589,,prage,CG14799|CG14800|CG14801|CG17968|CG42666|Dmel\CG42666|Dmel_CG14799|Dmel_CG14801|EG:131F2.2|EG:137E7.1|prg,prage,protein-coding,CG14799,FBgn0283741
478,Ty-N_peak_462,chr3L,2378605,2378605,+,62.3326,,promoter-TSS (NM_001299988),promoter-TSS (NM_001299988),-222,NM_001299988,38306,Dm.6482,NM_139462,,CG45186,CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|Dmel\CG45186|Dmel_CG13800|Dmel_CG32306|Dmel_CG33231|Dmel_CG33232|Dmel_CG42669|c62E-11,uncharacterized protein,protein-coding,CG45186,FBgn0266696
479,Ty-N_peak_1215,chrX,21054510,21054510,+,62.21059,,promoter-TSS (NM_001272824),promoter-TSS (NM_001272824),-36,NM_206800,33083,Dm.7881,NM_134582,,bves,BcDNA:SD21670|CG15448|CG1754|CG32513|Dmel\CG32513,bves,protein-coding,CG15448,FBgn0031150
481,Ty-N_peak_240,chr2R,4595367,4595367,+,61.84511,,promoter-TSS (NM_001042979),promoter-TSS (NM_001042979),79,NM_001042979,3355143,Dm.1722,NM_001042979,,p120ctn,CG17484|Dmel\CG17484|Dp120[ctn]|Dp120ctn|P120|P120-catenin|P120ctn|dP120ctn|dp120ctn|p120|p120[ctn],Adherens junction protein p120,protein-coding,CG17484,FBgn0260799
487,Ty-N_peak_378,chr2R,20996598,20996598,+,61.19568,,promoter-TSS (NM_166416),promoter-TSS (NM_166416),-43,NM_166416,37379,Dm.13565,NM_137690,,CG10543,Dmel\CG10543,uncharacterized protein,protein-coding,CG10543,FBgn0034570
488,Ty-N_peak_598,chr3L,15116664,15116664,+,60.88264,,promoter-TSS (NM_140492),promoter-TSS (NM_140492),-73,NM_140492,39647,Dm.964,NM_140492,,Cep135,Bld-10|Bld10|Bld10p|CEP135|CG17081|DCep135|DCep135/Bld10|DmBLD10|Dmel\CG17081|bld10|dbld10,Centrosomal protein 135kDa,protein-coding,CG17081,FBgn0036480
489,Ty-N_peak_307,chr2R,12665841,12665841,+,60.74476,,promoter-TSS (NM_001169657),promoter-TSS (NM_001169657),-42,NM_165936,36395,Dm.4052,NM_136964,,nemy,CG13147|CG8776|CytB561|Dmel\CG8776|Dmel_CG8772|Nemy|P153|anon-WO0140519.146,no extended memory,protein-coding,CG13147,FBgn0261673
493,Ty-N_peak_639,chr3L,17669458,17669458,+,60.39719,,promoter-TSS (NM_140744),promoter-TSS (NM_140744),-224,NM_001275068,39970,Dm.11355,NM_140744,,Crtc,CG6064|CRTC|Dmel\CG6064|ORE-12|TORC|TORC1|cg6064|dTORC,CREB-regulated transcription coactivator,protein-coding,CG6064,FBgn0036746
494,Ty-N_peak_725,chr3R,4810444,4810444,+,60.39719,,promoter-TSS (NM_001300235),promoter-TSS (NM_001300235),-1000,NM_001300235,40599,Dm.3750,NM_141241,,CG1129,Dmel\CG1129,CG1129,protein-coding,CG1129,FBgn0037279
495,Ty-N_peak_492,chr3L,6059440,6059440,+,60.38149,,promoter-TSS (NM_139759),promoter-TSS (NM_139759),-218,NM_139759,38687,Dm.29572,NM_139759,,CG6592,Dmel\CG6592|SP105|lincRNA.S4213,CG6592,protein-coding,CG6592,FBgn0035669
499,Ty-N_peak_1049,chrX,836696,836696,+,59.49651,,promoter-TSS (NM_001103391),promoter-TSS (NM_001103391),-340,NM_001103391,31031,Dm.26421,NM_058041,,CG43867,CG12467|CG14632|CG14633|CG42248|Dmel\CG43867|Dmel_CG12467|Dmel_CG14632|Dmel_CG14633|Dmel_CG42248|EG:34F3.1|EG:34F3.2,uncharacterized protein,protein-coding,CG43867,FBgn0264449
500,Ty-N_peak_1199,chrX,17579717,17579717,+,59.49651,,promoter-TSS (NM_001272721),promoter-TSS (NM_001272721),-144,NM_001272718,32734,Dm.13387,NM_132995,,CG12991,Dmel\CG12991,uncharacterized protein,protein-coding,CG12991,FBgn0030847
503,Ty-N_peak_55,chr2L,7027295,7027295,+,58.97849,,promoter-TSS (NM_164727),promoter-TSS (NM_164727),-8,NM_164726,261613,Dm.19319,NM_164726,,CG31908,CG8761|Dmel\CG31908,uncharacterized protein,protein-coding,CG31908,FBgn0051908
506,Ty-N_peak_1160,chrX,11987928,11987928,+,58.59919,,promoter-TSS (NM_001272551),promoter-TSS (NM_001272551),-164,NM_001272549,32159,Dm.2923,NM_001272549,,gd,CG1505|Dmel\CG1505|GD|Gd|SP186|fs(1)18|fs(1)190-5|fs(1)573|fs(1)A573|fs(1)M18|fs(1)gd|gas,gastrulation-defective,protein-coding,CG1505,FBgn0000808
