,Unnamed: 0,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID,Pause index,Pause index_log2
213,445,Ty-N_peak_812,chr3R,14655214,14655214,+,67.73702,,promoter-TSS (NM_001300399),promoter-TSS (NM_001300399),-17,NM_001260175,41776,Dm.11537,NM_142122,,l(3)L1231,BEST:LD14744|CG7832|Dmel\CG7832|LD14744,lethal (3) L1231,protein-coding,CG7832,FBgn0086686,3.28510662,1.715940194793898
216,451,Ty-N_peak_780,chr3R,10849217,10849217,+,67.24807,,promoter-TSS (NM_001170113),promoter-TSS (NM_001170113),-608,NM_001260106,7354424,Dm.25144,NM_001144563,,CG42394,Dmel\CG42394,uncharacterized protein,protein-coding,CG42394,FBgn0259740,113.868549,6.831225513050492
217,452,Ty-N_peak_817,chr3R,15148095,15148095,+,67.23257,,promoter-TSS (NM_169611),promoter-TSS (NM_169611),-564,NM_169611,41823,Dm.4414,NM_142165,,GlyS,CG6904|CG6940|Dmel\CG6904|GS|Glys|anon-WO0118547.108|dGS,Glycogen synthase,protein-coding,CG6904,FBgn0266064,89.0809695,6.477045354463793
222,462,Ty-N_peak_296,chr2R,11985201,11985201,+,64.95779,,promoter-TSS (NM_001103810),promoter-TSS (NM_001103810),192,NM_080372,36280,Dm.569,NM_080372,,RnrS,CG8975|DmRNR2|Dmel\CG8975|RNR2|RNRS|RNrS|Rnr2|Rnrs|anon-WO0118547.148|dRNR2|rnr2|rnrS,Ribonucleoside diphosphate reductase small subunit,protein-coding,CG8975,FBgn0011704,13.3090997,3.7343410776867354
223,463,Ty-N_peak_202,chr2L,19896052,19896052,+,64.95779,,promoter-TSS (NM_001103713),promoter-TSS (NM_001103713),7,NM_001103713,35277,Dm.17935,NM_136167,,sick,CG10662|CG13958|CG13959|CG13960|CG13961|CG13964|CG33316|CG34343|CG42589|CG43720|Dm_2L:104545|Dmel\CG43720|Dmel_CG10662|Dmel_CG13958|Dmel_CG13964|Dmel_CG33316|Dmel_CG34343|Dmel_CG42589,sickie,protein-coding,CG10662,FBgn0263873,1.31618033,0.39635716640868135
224,466,Ty-N_peak_1056,chrX,1370356,1370356,+,64.03856999999999,,promoter-TSS (NM_206603),promoter-TSS (NM_206603),-224,NM_001297846,31086,Dm.14946,NM_130552,,ssx,CG3056|Dmel\CG3056|EG:132E8.1|anon-EST:Posey102|cg3056,sister-of-Sex-lethal,protein-coding,CG3056,FBgn0024987,13.5578364,3.7610550621492607
225,467,Ty-N_peak_459,chr3L,1298532,1298532,+,64.03856999999999,,promoter-TSS (NM_058045),promoter-TSS (NM_058045),-140,NM_058044,38145,Dm.4734,NM_058044,,scf,BEST:CK02682|CG9148|CK02682|DCB-45|Dmel\CG9148|SCF|anon-EST:Posey14,supercoiling factor,protein-coding,CG9148,FBgn0025682,10.774560000000001,3.429557050161906
226,470,Ty-N_peak_1189,chrX,16560652,16560652,+,63.69586999999999,,promoter-TSS (NM_078649),promoter-TSS (NM_078649),-636,NM_001258786,32624,Dm.33340,NM_078649,,Pp2B-14D,CG9842|CaNA|CanA|CanA14D|CnA|CnnA14D|D33|DmPp2B-14D|Dmel\CG9842|PP2B|PP2B 14D|PP2B-14D|Pp12-14D|Pp2B-14D/CaN|Pp2B-14DF|Pp2b-14D|PpD33|canA,Protein phosphatase 2B at 14D,protein-coding,CG9842,FBgn0011826,11.4910038,3.522432925423802
227,471,Ty-N_peak_790,chr3R,11604658,11604658,+,63.56146999999999,,promoter-TSS (NM_169408),promoter-TSS (NM_169408),96,NM_169407,41392,Dm.20930,NM_169404,,Jupiter,BEST:LP05168|BcDNA:GH06373|BcDNA:LD21358|BcDNA:LD43690|BcDNA:RH53211|CG17238|CG18762|CG18763|CG31363|Dmel\CG31363|anon-EST:Liang-1.76|anon-WO0140519.173|clone 1.76|jupiter,jupiter,protein-coding,CG17238,FBgn0051363,8.89721173,3.15335328511784
232,478,Ty-N_peak_462,chr3L,2378605,2378605,+,62.3326,,promoter-TSS (NM_001299988),promoter-TSS (NM_001299988),-222,NM_001299988,38306,Dm.6482,NM_139462,,CG45186,CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|Dmel\CG45186|Dmel_CG13800|Dmel_CG32306|Dmel_CG33231|Dmel_CG33232|Dmel_CG42669|c62E-11,uncharacterized protein,protein-coding,CG45186,FBgn0266696,3.38988337,1.7612356378403418
234,481,Ty-N_peak_240,chr2R,4595367,4595367,+,61.84511,,promoter-TSS (NM_001042979),promoter-TSS (NM_001042979),79,NM_001042979,3355143,Dm.1722,NM_001042979,,p120ctn,CG17484|Dmel\CG17484|Dp120[ctn]|Dp120ctn|P120|P120-catenin|P120ctn|dP120ctn|dp120ctn|p120|p120[ctn],Adherens junction protein p120,protein-coding,CG17484,FBgn0260799,12.1548781,3.603463519689023
235,487,Ty-N_peak_378,chr2R,20996598,20996598,+,61.19568,,promoter-TSS (NM_166416),promoter-TSS (NM_166416),-43,NM_166416,37379,Dm.13565,NM_137690,,CG10543,Dmel\CG10543,uncharacterized protein,protein-coding,CG10543,FBgn0034570,19.232786899999997,4.265495924413445
236,488,Ty-N_peak_598,chr3L,15116664,15116664,+,60.88264,,promoter-TSS (NM_140492),promoter-TSS (NM_140492),-73,NM_140492,39647,Dm.964,NM_140492,,Cep135,Bld-10|Bld10|Bld10p|CEP135|CG17081|DCep135|DCep135/Bld10|DmBLD10|Dmel\CG17081|bld10|dbld10,Centrosomal protein 135kDa,protein-coding,CG17081,FBgn0036480,22.036073000000002,4.461795242198862
237,489,Ty-N_peak_307,chr2R,12665841,12665841,+,60.74476,,promoter-TSS (NM_001169657),promoter-TSS (NM_001169657),-42,NM_165936,36395,Dm.4052,NM_136964,,nemy,CG13147|CG8776|CytB561|Dmel\CG8776|Dmel_CG8772|Nemy|P153|anon-WO0140519.146,no extended memory,protein-coding,CG13147,FBgn0261673,59.99463860000001,5.906761675428624
238,493,Ty-N_peak_639,chr3L,17669458,17669458,+,60.39719,,promoter-TSS (NM_140744),promoter-TSS (NM_140744),-224,NM_001275068,39970,Dm.11355,NM_140744,,Crtc,CG6064|CRTC|Dmel\CG6064|ORE-12|TORC|TORC1|cg6064|dTORC,CREB-regulated transcription coactivator,protein-coding,CG6064,FBgn0036746,9.56984765,3.2584959574867436
240,495,Ty-N_peak_492,chr3L,6059440,6059440,+,60.38149,,promoter-TSS (NM_139759),promoter-TSS (NM_139759),-218,NM_139759,38687,Dm.29572,NM_139759,,CG6592,Dmel\CG6592|SP105|lincRNA.S4213,CG6592,protein-coding,CG6592,FBgn0035669,1.52906687,0.6126515008176502
241,499,Ty-N_peak_1049,chrX,836696,836696,+,59.49651,,promoter-TSS (NM_001103391),promoter-TSS (NM_001103391),-340,NM_001103391,31031,Dm.26421,NM_058041,,CG43867,CG12467|CG14632|CG14633|CG42248|Dmel\CG43867|Dmel_CG12467|Dmel_CG14632|Dmel_CG14633|Dmel_CG42248|EG:34F3.1|EG:34F3.2,uncharacterized protein,protein-coding,CG43867,FBgn0264449,25.829493300000003,4.690947437114187
242,500,Ty-N_peak_1199,chrX,17579717,17579717,+,59.49651,,promoter-TSS (NM_001272721),promoter-TSS (NM_001272721),-144,NM_001272718,32734,Dm.13387,NM_132995,,CG12991,Dmel\CG12991,uncharacterized protein,protein-coding,CG12991,FBgn0030847,388.15337400000004,8.600483017926855
244,506,Ty-N_peak_1160,chrX,11987928,11987928,+,58.59919,,promoter-TSS (NM_001272551),promoter-TSS (NM_001272551),-164,NM_001272549,32159,Dm.2923,NM_001272549,,gd,CG1505|Dmel\CG1505|GD|Gd|SP186|fs(1)18|fs(1)190-5|fs(1)573|fs(1)A573|fs(1)M18|fs(1)gd|gas,gastrulation-defective,protein-coding,CG1505,FBgn0000808,4.25284914,2.0884296795971005
247,510,Ty-N_peak_47,chr2L,5943793,5943793,+,58.0971,,promoter-TSS (NM_001169422),promoter-TSS (NM_001169422),150,NM_001273184,33824,Dm.4843,NM_057217,,Gpdh,CG9042|DROGPDHA|DmG3PDH|Dmel\CG9042|G3PDH|G3pdh|GAPDH|GPD|GPDA|GPDH|GPDH-1|Gdh|Gpd|alpha-GPD|alpha-GPDH|alpha-GPDH-1|alpha-Gpdh|alphaGPDH|alphaGpd|alphaGpdh|alphaGpdh-1|dGpdh|gpdh|gpdh-1|sn-Gpdh,Glycerol 3 phosphate dehydrogenase,protein-coding,CG9042,FBgn0001128,6.79471058,2.764412100854146
251,516,Ty-N_peak_859,chr3R,21350459,21350459,+,57.3611,,promoter-TSS (NM_142710),promoter-TSS (NM_142710),-858,NM_001300514,42531,Dm.33570,NM_142710,,CG16791,Dmel\CG16791|R5_3R:17143989..17145881|anon-WO0172774.78,uncharacterized protein,protein-coding,CG16791,FBgn0038881,69.2515792,6.113775065370941
254,529,Ty-N_peak_273,chr2R,9165312,9165312,+,55.92953000000001,,promoter-TSS (NM_165657),promoter-TSS (NM_165657),-320,NM_136622,35937,,NM_136622,,Rad51D,CG2412|Dm CG2412|Dmel\CG2412|Rad51C|dmRad51C,Rad51 recombinase D,protein-coding,CG2412,FBgn0033389,3.11077844,1.637275644986076
255,532,Ty-N_peak_525,chr3L,8449423,8449423,+,55.599090000000004,,promoter-TSS (NM_206303),promoter-TSS (NM_206303),-46,NM_001300055,38964,Dm.11134,NM_139970,,CG6983,Dmel\CG6983,CG6983,protein-coding,CG6983,FBgn0035896,61.56254870000001,5.943981055610268
256,533,Ty-N_peak_207,chr2L,20428443,20428443,+,55.59652,,promoter-TSS (NM_001144371),promoter-TSS (NM_001144371),-582,NM_136191,35314,,NM_136191,,CG31688,38C.49|38C.52|CG11016|CG11017|CG11019|CG18597|CG31688-PA|Dmel\CG31688|Dmel_CG11019,uncharacterized protein,protein-coding,CG31688,FBgn0263355,3.94703766,1.9807702845302408
257,538,Ty-N_peak_212,chr2L,20823953,20823953,+,55.04727,,promoter-TSS (NM_206015),promoter-TSS (NM_206015),311,NM_001299178,35347,Dm.7737,NM_136218,,CG9331,Dmel\CG9331,CG9331,protein-coding,CG9331,FBgn0032889,1.01598352,0.02287700072513615
258,540,Ty-N_peak_678,chr3L,20949685,20949685,+,55.04727,,promoter-TSS (NM_079467),promoter-TSS (NM_079467),-173,NM_079467,40314,Dm.4336,NM_079467,,fng,CG10580|D-Fng|D-fng|Dfng|Dmel\CG10580|Fng|Frg|fg|frg|l(3)rG554,fringe,protein-coding,CG10580,FBgn0011591,59.953283299999995,5.905766858884185
259,542,Ty-N_peak_563,chr3L,12399439,12399439,+,54.901419999999995,,promoter-TSS (NM_140316),promoter-TSS (NM_140316),-117,NM_140316,39413,Dm.3326,NM_140316,,CG32104,CG14123|CG14124|Dmel\CG32104|anon-69Ag,uncharacterized protein,protein-coding,CG32104,FBgn0052104,12.171512400000001,3.6054365395547534
260,543,Ty-N_peak_1134,chrX,9283806,9283806,+,54.7724,,promoter-TSS (NM_001103449),promoter-TSS (NM_001103449),-689,NM_001298121,53436,Dm.2077,NM_144349,,c11.1,C11.1|CG12132|Dmel\CG12132,c11.1,protein-coding,CG12132,FBgn0040236,26.618038199999997,4.734332340689115
261,548,Ty-N_peak_1126,chrX,8461353,8461353,+,54.30967,,promoter-TSS (NM_001201633),promoter-TSS (NM_001201633),-126,NM_132252,31780,Dm.31045,NM_132252,,Es2,CG1474|Dmel\CG1474|ES2|es,Es2,protein-coding,CG1474,FBgn0023506,2.9463388999999998,1.5589233846266297
262,550,Ty-N_peak_144,chr2L,15748285,15748285,+,54.16867,,promoter-TSS (NM_165125),promoter-TSS (NM_165125),-135,NM_165125,34924,Dm.3509,NM_057611,,CycE,3938|BG:DS07108.3|CDI7|CG3938|CYCE|Cdi7|Cyc|Cyc E|CycEI|CyclE|CyeE|D-CycE|DmCycE|DmcycE|DmcyclinE|Dmel\CG3938|br37|cdi7|cycE|cyclinE|cycline|dCycE|dm-cycE|fond|l(2)05206|l(2)35Dd|l(2)br37|l(2)k02514|l(2)k02602|l(2)k05007|l35Dd,Cyclin E,protein-coding,CG3938,FBgn0010382,11.5507468,3.5299142253015625
263,552,Ty-N_peak_882,chr3R,24230806,24230806,+,54.16867,,promoter-TSS (NM_142977),promoter-TSS (NM_142977),244,NM_176556,50070,Dm.7426,NM_176556,,mask,CG18671|CG31138|CG33106|CG6268|CG6313|Dmel\CG33106|EC3-6|MASK|Mask|cg6313,multiple ankyrin repeats single KH domain,protein-coding,CG18671,FBgn0043884,14.175568099999998,3.825334648653065
264,554,Ty-N_peak_467,chr3L,3052250,3052250,+,53.96682,,promoter-TSS (NM_206259),promoter-TSS (NM_206259),-264,NM_206259,38364,Dm.3757,NM_139506,,CG1271,Dmel\CG1271,CG1271,protein-coding,CG1271,FBgn0035392,9.11561687,3.188340289306293
266,558,Ty-N_peak_381,chr2R,21143254,21143254,+,53.294619999999995,,promoter-TSS (NM_166427),promoter-TSS (NM_166427),-291,NM_166427,44226,Dm.1850,NM_079983,,Xbp1,138/3|CG 9415|CG9415|DM18|Dmel\CG9415|Dxbp-1|XBP-1|XBP1|Xbp-1|XbpI|anon-EST:Liang-1.41|clone 1.41|dXbp-1|l(2)k13803|xbp-1|xbp1,X box binding protein-1,protein-coding,CG9415,FBgn0021872,3.82038078,1.933716439842108
268,563,Ty-N_peak_22,chr2L,2830707,2830707,+,53.294619999999995,,promoter-TSS (NM_001273039),promoter-TSS (NM_001273039),-459,NM_134871,33477,Dm.11399,NM_134871,,Duox,CG3131|Cy|DUOX|Dmel\CG3131|dDuox|dduox|duox|l(2)23Bb,Dual oxidase,protein-coding,CG3131,FBgn0283531,93.4663796,6.546375607407535
270,567,Ty-N_peak_280,chr2R,10099673,10099673,+,52.66365,,promoter-TSS (NM_206070),promoter-TSS (NM_206070),-4,NM_165740,36059,Dm.4705,NM_057537,,14-3-3zeta,14-3-3|14-3-3 zeta|14-3-3-Leo|14-3-3-zeta|14-3-3ZETA|14-3-3leo|2G1|4-3-3 zeta|5.11|549|BEST:GH05075|CG17870|D14-3-3|D14-3-3zeta|Dmel\CG17870|K|LEO|Leo|PAR-5|PAR5|Par-5|d14-3-3zeta|l(2)07103|l(2)46CFe|l(2)46Ee|leo|par-5,14-3-3zeta,protein-coding,CG17870,FBgn0004907,6.45613757,2.6906713204747708
271,568,Ty-N_peak_1212,chrX,19208518,19208518,+,52.424209999999995,,promoter-TSS (NM_133134),promoter-TSS (NM_133134),-331,NM_133134,32910,Dm.216,NM_133134,,Ulp1,BcDNA:GH02751|CG12359|DmUlp1|Dmel\CG12359|ulp1,Ulp1,protein-coding,CG12359,FBgn0027603,12.3976209,3.6319913892833084
272,569,Ty-N_peak_259,chr2R,7459208,7459208,+,52.424209999999995,,promoter-TSS (NM_058057),promoter-TSS (NM_058057),-334,NM_058057,35671,Dm.3378,NM_058057,,Inos,CG11143|Dmel\CG11143|INOS|bs36h12.y1,inos,protein-coding,CG11143,FBgn0025885,33.320049100000006,5.058318621529428
274,574,Ty-N_peak_193,chr2L,19547633,19547633,+,51.96096,,promoter-TSS (NM_001273662),promoter-TSS (NM_001273662),-674,NM_136142,35247,Dm.30853,NM_136142,,CG10337,Dmel\CG10337,uncharacterized protein,protein-coding,CG10337,FBgn0032805,6.54758568,2.710963033430753
276,576,Ty-N_peak_1176,chrX,13822529,13822529,+,51.9477,,promoter-TSS (NM_001272608),promoter-TSS (NM_001272608),-222,NM_001272608,32349,Dm.161,NM_132700,,Clic,CG10997|CLIC|DCLIC|DmCLIC|Dmel\CG10997|clic|l(1)G0053|l(1)G0472,Chloride intracellular channel,protein-coding,CG10997,FBgn0030529,84.7029781,6.404340789528302
277,577,Ty-N_peak_677,chr3L,20719400,20719400,+,51.892070000000004,,promoter-TSS (NM_001104182),promoter-TSS (NM_001104182),-200,NM_001104182,40288,Dm.18595,NM_001104181,,cmpy,CG13253|Cmpy|Dmel\CG13253,crimpy,protein-coding,CG13253,FBgn0037015,6.31296382,2.6583174829469094
278,580,Ty-N_peak_129,chr2L,14301011,14301011,+,51.55806,,promoter-TSS (NM_001201880),promoter-TSS (NM_001201880),12,NM_001201878,43946,Dm.3218,NM_057442,,wb,&agr1|2|2Lan|2]]|A1|BEST:CK02229|BG:DS03792.1|BG:DS03792.2|CG15288|CG32970|CG42677|CK02229|CT35236|DLAM|Dmel\CG42677|Dmel_CG15288|Dmel_CG32970|LM-A/alpha2|LanA1|alpha[[1|fus5|l(2)09437|l(2)34Fb|l(2)br1|l34Fb,wing blister,protein-coding,CG15288,FBgn0261563,49.436162599999996,5.627494855669831
279,581,Ty-N_peak_383,chr2R,21183344,21183344,+,51.55806,,promoter-TSS (NM_057425),promoter-TSS (NM_057425),22,NM_057425,37417,,NM_057425,,tud,CG9450|Dmel\CG9450|R5_2R:17070527..17070890|TUD|Tud|Tudor|tu,tudor,protein-coding,CG9450,FBgn0003891,28.750148499999998,4.845497502758645
283,587,Ty-N_peak_751,chr3R,7530656,7530656,+,50.11567,,promoter-TSS (NM_079540),promoter-TSS (NM_079540),-97,NM_079540,40904,Dm.21648,NM_079540,,alphaTub84D,3t|ALPHA 84D|CG2512|D.m.ALPHA-84D|DTA4|Dmel\CG2512|T|Tub|Tub1A|aTub84D|alpha-Tub|alpha-Tub84D|alpha-tub|alpha-tub84D|alpha-tubulin|alpha3|alpha3t|alpha84D|alphaTUB|alphaTUB84D|alphaTub|alphaTub3|alphaTub84,alpha-Tubulin at 84D,protein-coding,CG2512,FBgn0003885,7.90419162,2.982617922361957
284,592,Ty-N_peak_523,chr3L,8191158,8191158,+,49.83773,,promoter-TSS (NM_139928),promoter-TSS (NM_139928),-112,NM_139928,38914,Dm.3405,NM_139928,,MED24,CG7999|Dmel\CG7999|Med24|Trap100|dTRAP100|l(3)psg5|med24|psg5,Mediator complex subunit 24,protein-coding,CG7999,FBgn0035851,3.00577096,1.5877350799590586
287,598,Ty-N_peak_925,chr3R,28819701,28819701,+,49.83773,,promoter-TSS (NM_143379),promoter-TSS (NM_143379),-33,NM_143378,43400,Dm.4423,NM_143378,,CG1523,Dmel\CG1523,CG1523,protein-coding,CG1523,FBgn0039601,4.41450432,2.142251454810434
290,602,Ty-N_peak_519,chr3L,8056667,8056667,+,49.376529999999995,,promoter-TSS (NM_001169904),promoter-TSS (NM_001169904),-292,NM_001169904,38891,Dm.9548,NM_139912,,bip1,Bip1|CG7574|Dmel\CG7574|anon-WO0118547.246|bip-I,bip1,protein-coding,CG7574,FBgn0026263,2.72546594,1.4465028911241773
291,604,Ty-N_peak_932,chr3R,30098949,30098949,+,49.0873,,promoter-TSS (NM_001276171),promoter-TSS (NM_001276171),-571,NM_001276171,43580,Dm.6953,NM_079845,,sima,7951|CG31031|CG45051|CG7951|DMU43090|Dmel\CG45051|Dmel_CG31031|Dmel_CG7951|HIF alpha|HIF-1|HIF-1alpha|HIF-alpha/sima|HIF1alpha|Hif-1A|Hif1alpha|SIMA|Sima|bHLHe56|dHIF-1alpha|dHIF-alpha|l(3)j11B7,similar,protein-coding,CG31031,FBgn0266411,16.8200197,4.072107490199543
292,606,Ty-N_peak_418,chr2R,25084796,25084796,+,48.983670000000004,,promoter-TSS (NM_001169829),promoter-TSS (NM_001169829),-449,NM_079140,38006,Dm.19312,NM_079140,,gol,CG2679|Dmel\CG2679|Gol|anon-G1|g1|meso,goliath,protein-coding,CG2679,FBgn0004919,234.21865899999997,7.871712202311036
294,612,Ty-N_peak_40,chr2L,5326802,5326802,+,48.25628,,promoter-TSS (NM_001103618),promoter-TSS (NM_001103618),-119,NM_001258955,33761,Dm.13484,NM_135077,,Ncoa6,CG14023|Dmel\CG14023|NCOA6|dNCOA6,Nuclear receptor coactivator 6,protein-coding,CG14023,FBgn0031698,5.18047416,2.3730841513816805
296,615,Ty-N_peak_176,chr2L,18012209,18012209,+,48.13382,,promoter-TSS (NM_001169532),promoter-TSS (NM_001169532),-171,NM_001299095,35077,Dm.21796,NM_136017,,rdo,CG15151|CT35050|Dmel\CG15151|PFE|Rdo,reduced ocelli,protein-coding,CG15151,FBgn0243486,409.537149,8.677850514039596
297,617,Ty-N_peak_1213,chrX,19349348,19349348,+,47.8889,,promoter-TSS (NM_001169324),promoter-TSS (NM_001169324),-901,NM_001169324,32928,,NM_167645,,nAChRalpha7,CG32538|CG8082|CG8109|CT24218|Da7|Dalpha7|Dalpha7 nAChR|Dalpha7-nAChR|Dmel\CG32538|gfA|gfa|jpl|nAChR|nAChR-Dalpha7|nAChR-gfa|nAcRalpha-18C|nAcRalpha-7|nAcRalpha18C|nAchRa7|nj507|nj520|nj522|nj54|nj75,nicotinic Acetylcholine Receptor alpha7,protein-coding,CG32538,FBgn0086778,2.7267855,1.4472012164770247
298,618,Ty-N_peak_617,chr3L,16338894,16338894,+,47.39813,,promoter-TSS (NM_001043144),promoter-TSS (NM_001043144),-109,NM_001043144,39808,Dm.13277,NM_140621,,CG4998,Dmel\CG4998|SPH66,CG4998,protein-coding,CG4998,FBgn0036612,135.72870600000002,7.0845820661991326
299,621,Ty-N_peak_735,chr3R,5716954,5716954,+,47.28839,,promoter-TSS (NM_079938),promoter-TSS (NM_079938),-149,NM_079938,44018,Dm.1871,NM_079938,,cas,CG2102|Cas|Dmel\CG2102|l(3)j1C2|l(3)neo33|ming,castor,protein-coding,CG2102,FBgn0004878,111.248129,6.797637262436951
303,628,Ty-N_peak_485,chr3L,4840468,4840468,+,46.84285,,promoter-TSS (NM_139677),promoter-TSS (NM_139677),-360,NM_001259705,38583,Dm.24632,NM_139677,,CG13707,Dmel\CG13707,uncharacterized protein,protein-coding,CG13707,FBgn0035578,309.404081,8.273348415649046
305,631,Ty-N_peak_229,chr2L,21795868,21795868,+,46.67419,,promoter-TSS (NM_001169571),promoter-TSS (NM_001169571),-421,NM_001169571,35427,Dm.4930,NM_165400,,CG31612,CG11631|CG11632|Dmel\CG31612,uncharacterized protein,protein-coding,CG31612,FBgn0051612,6.93859774,2.7946441299566565
306,635,Ty-N_peak_392,chr2R,21871945,21871945,+,46.4472,,promoter-TSS (NM_001103932),promoter-TSS (NM_001103932),-85,NM_001103932,5740472,Dm.32432,NM_137775,,Fili,CG13487|CG34368|CG4054|CT13464|CT32855|Dmel\CG34368|Dmel_CG13487|Dmel_CG4045|Dmel_CG4054,Fish-lips,protein-coding,CG13487,FBgn0085397,877.280739,9.77689478381387
308,637,Ty-N_peak_382,chr2R,21171033,21171033,+,46.4472,,promoter-TSS (NM_166429),promoter-TSS (NM_166429),32,NM_166429,37414,,NM_166429,,Xpd,CG9433|DhR3|DhXPD|DmXPD|Dmel\CG9433|ERCC2|XPD|XPD/ERCC2|l(2)SH2 2137|l(2)SH2137|xpd,Xeroderma pigmentosum D,protein-coding,CG9433,FBgn0261850,13.0211157,3.702781164427478
309,643,Ty-N_peak_1062,chrX,1900117,1900117,+,45.61037,,promoter-TSS (NM_001272220),promoter-TSS (NM_001272220),56,NM_057318,31151,Dm.4782,NM_057317,,arm,ARM|Arm|CG11579|Dm Arm|Dmel\CG11579|EG:86E4.6|beta-Cat|beta-cat|beta-cat-arm|beta-catenin|beta-catenin/Arm|betacat|bgr;-Cat|l(1)2Bv|l(1)G0192|l(1)G0234|l(1)G0410|l(1)arm|t12687 ALR Dm,armadillo,protein-coding,CG11579,FBgn0000117,1.6569175999999999,0.7285018578235307
310,645,Ty-N_peak_194,chr2L,19577031,19577031,+,45.61037,,promoter-TSS (NM_136147),promoter-TSS (NM_136147),284,NM_134291,35253,Dm.4573,NM_057561,,spi,CG10334|CT29014|Dmel\CG10334|EP(2)2378|Spi|Spitz|anon-WO0118547.158|l(2)01068|l(2)37Fa|l(2)s3547|s-spi|sSpi,spitz,protein-coding,CG10334,FBgn0005672,3.00706631,1.5883566816975423
313,652,Ty-N_peak_272,chr2R,9091821,9091821,+,44.77789,,promoter-TSS (NM_001273889),promoter-TSS (NM_001273889),-36,NM_001273889,35918,Dm.20768,NM_176108,,CG8080,CG30346|Dmel\CG8080,CG8080,protein-coding,CG8080,FBgn0033373,3.41628669,1.7724290489883092
315,655,Ty-N_peak_845,chr3R,18242127,18242127,+,44.364959999999996,,promoter-TSS (NM_169799),promoter-TSS (NM_169799),32,NM_142440,42187,Dm.10147,NM_142440,,CG7156,Dmel\CG7156,CG7156,protein-coding,CG7156,FBgn0038588,7.36641367,2.880962415823076
316,657,Ty-N_peak_1168,chrX,12660473,12660473,+,44.282740000000004,,promoter-TSS (NM_167333),promoter-TSS (NM_167333),-61,NM_167333,32222,Dm.4329,NM_078586,,Tis11,CG4070|DTIS11|Dmel\CG4070|TIS11|TIS11cc1|TIScc1|Ts11|anon-EST:Liang-1.28|clone 1.28|dTIS11|dTTP|dTis11|l(1)G0124|tis-11,Tis11 zinc finger protein,protein-coding,CG4070,FBgn0011837,37.305290899999996,5.22130835308563
319,660,Ty-N_peak_889,chr3R,25193993,25193993,+,43.949659999999994,,promoter-TSS (NM_001043292),promoter-TSS (NM_001043292),-217,NM_001043292,4379864,Dm.16505,NM_001043292,,lobo,CG13661|CG13662|CG34110|Dmel\CG34110,lost boys,protein-coding,CG13661,FBgn0083946,1.10312708,0.1415989986583615
320,669,Ty-N_peak_800,chr3R,12350959,12350959,+,43.126329999999996,,promoter-TSS (NM_169460),promoter-TSS (NM_169460),-315,NM_141919,41495,Dm.1168,NM_141919,,CG10038,Dmel\CG10038,uncharacterized protein,protein-coding,CG10038,FBgn0038013,7.36519119,2.8807229760805098
321,671,Ty-N_peak_33,chr2L,4453095,4453095,+,43.126329999999996,,promoter-TSS (NM_134992),promoter-TSS (NM_134992),-57,NM_134992,33651,Dm.2115,NM_134992,,CG15439,Dmel\CG15439,uncharacterized protein,protein-coding,CG15439,FBgn0031606,19.6707521,4.297980214181327
322,675,Ty-N_peak_1088,chrX,3862658,3862658,+,42.70632,,promoter-TSS (NR_123784),promoter-TSS (NR_123784),39,NR_002098,3772376,,NR_002097,,roX1,BcDNA:GH10432|CR32777|Dmel\CR32777|EG:EG0002.2|RoX1|chrX:3706836..3706970|roX|rox-1|rox1,RNA on the X 1,ncRNA,CR32777,FBgn0019661,4.35163408,2.1215572484163276
325,680,Ty-N_peak_327,chr2R,14958554,14958554,+,42.35257,,promoter-TSS (NM_001274055),promoter-TSS (NM_001274055),-98,NM_001274055,47594,Dm.1507,NM_080153,,aPKC,CG10261|CG30475|CG42783|DaPKC|Dmel\CG42783|Dmel_CG10261|Dmel_CG30475|PKCl|PKCzeta|a-PKC|aPKC-zeta|aPKCzeta|aPkc|alphaPKCzeta|apkc|daPKC|dapkc|i|l(2)k06403|pkc-3|psu,atypical protein kinase C,protein-coding,CG10261,FBgn0261854,25.328505,4.662690020230802
327,685,Ty-N_peak_481,chr3L,4170244,4170244,+,42.3072,,promoter-TSS (NM_139608),promoter-TSS (NM_139608),-160,NM_139608,38500,Dm.7704,NM_139608,,Ero1L,CG1333|Dmel\CG1333|ERO1-L|Ero1l|ero1L|kiga|l(3)64Ag|l(3)SH22,Endoplasmic reticulum oxidoreductin-1-like,protein-coding,CG1333,FBgn0261274,34.1895577,5.095483854068613
330,696,Ty-N_peak_518,chr3L,7869071,7869071,+,41.49245,,promoter-TSS (NM_168240),promoter-TSS (NM_168240),29,NM_001300045,38876,,NM_168240,,CG32365,CG13682|CG13683|CG8294|Dmel\CG32365,uncharacterized protein,protein-coding,CG32365,FBgn0052365,151.61481899999998,7.244266960783458
